"","Study","Site","Pre_Date","Post_Date","Subsample","Treatment","Cage","FishID","Tag","Pre_FL_mm","Post_FL_mm","Lab_FL_mm","Pre_Weight_g","Post_Weight_g","Lab_Weight_g","Pre_CF","Post_CF","Lab_CF","Lab_LiverWeight_g","Lab_HSI","Glycogen","Post_CTM","CTM_Recovered","Comments"
"63","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N13",NA,NA,54,55,NA,1.08,1.0876,NA,0.685871056241427,0.653703981968445,0.0057,0.524089738874586,2.52653398524209,NA,NA,"Dead in bucket, stiff NA"
"64","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N14",NA,NA,50,50,NA,0.79,0.7601,NA,0.632,0.60808,0.0098,1.28930403894224,3.02636416252259,NA,NA,"Dead in bucket, stiff NA"
"65","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N15",NA,NA,53,54,NA,0.88,0.8649,NA,0.59109197525474,0.549268404206676,0.0057,0.659035726673604,4.56955807299458,NA,NA,"Dead in bucket, stiff NA"
"66","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N16",NA,NA,45,43,NA,0.59,0.5374,NA,0.647462277091907,0.675915328210095,0.0046,0.855973204317082,5.53074844886759,NA,NA,"Dead in bucket, stiff NA"
"67","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N17",NA,NA,51,NA,NA,0.91,NA,NA,0.686010659550248,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"68","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N18",NA,NA,48,46,NA,0.52,0.4802,NA,0.470196759259259,0.493342648146626,0.0032,0.666389004581424,4.461483212331,NA,NA,"Dead in bucket, stiff NA"
"69","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N19",NA,NA,47,NA,NA,0.76,NA,NA,0.732015064099477,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"70","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N20",NA,NA,59,59,NA,1.32,1.2734,NA,0.642714201549331,0.620024442615847,0.0068,0.534003455316476,4.18804036382644,NA,NA,"Dead in bucket, stiff NA"
"71","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N21",NA,NA,58,58,NA,1.3,1.2349,NA,0.666283980483004,0.632918528844971,0.0063,0.510162766215888,2.53922611907695,NA,NA,"Dead in bucket, stiff NA"
"72","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N22",NA,NA,50,NA,NA,0.96,0.9084,NA,0.768,NA,0.0053,0.583443416996918,1.51274870820443,NA,NA,"Dead in bucket, stiff NA"
"73","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N23",NA,NA,46,45,NA,0.68,0.6296,NA,0.698610996958987,0.690919067215364,0.004,0.635324015247776,1.69742459519485,NA,NA,"Dead in bucket, stiff NA"
"74","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N24",NA,NA,60,62,NA,1.32,1.2369,NA,0.611111111111111,0.518990634755463,0.0084,0.679117147707979,3.24195166179703,NA,NA,"Dead in bucket, stiff NA"
"75","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N25",NA,NA,52,53,NA,0.85,0.8351,NA,0.604517523896222,0.56093285060822,0.006,0.718476829122261,2.33387358648704,NA,NA,"Dead in bucket, stiff NA"
"76","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N26",NA,NA,44,47,NA,0.5,0.4946,NA,0.586964688204357,0.476387698294212,0.0025,0.505458956732713,2.21693955007775,NA,NA,"Sat in a weigh boat for a while by accident. NA"
"77","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N27",NA,NA,51,NA,NA,0.39,NA,NA,0.294004568378678,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff. Body sliced by net NA"
"78","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N28",NA,NA,47,49,NA,0.66,0.5923,NA,0.63569729250744,0.503446693129563,0.0057,0.962350160391693,1.70437897372906,NA,NA,"Dead in bucket, stiff NA"
