"","Cage","Pre_FL_cm","Pre_Weight_g","Pre_CF","Post_FL_cm","Post_Weight_g","Post_CF","Delta_CF","Site","Mesh"
"671","F",5.3,1.05,0.705,5.4,0.95,0.603,-0.102,"DWSC","large"
"672","F",6.5,1.48,0.539,6.3,1.19,0.476,-0.063,"DWSC","large"
"673","F",5.9,1.12,0.545,5.6,0.84,0.478,-0.067,"DWSC","large"
"674","F",NA,NA,NA,6,1.09,0.505,NA,"DWSC","large"
"675","F",6,1.69,0.782,6.4,1.8,0.687,-0.095,"RV","large"
"676","F",6.3,1.52,0.608,6.5,1.76,0.641,0.033,"RV","large"
"677","F",6.5,1.92,0.699,6.5,2.06,0.75,0.051,"RV","large"
"678","F",6.4,1.68,0.641,6.3,2.07,0.828,0.187,"RV","large"
"679","F",6.9,2.18,0.664,7,2.27,0.662,-0.002,"RV","large"
"680","F",6.8,2.13,0.677,6.8,2.23,0.709,0.032,"RV","large"
"681","F",7.2,2.71,0.726,7.2,2.79,0.747,0.021,"RV","large"
"682","F",6.4,2.06,0.786,6.8,2.25,0.716,-0.07,"RV","large"
"683","F",5.9,1.18,0.575,6,1.33,0.616,0.041,"RV","large"
"684","F",6.3,1.62,0.648,6.4,1.74,0.664,0.016,"RV","large"
"685","F",5.8,1.04,0.533,5.9,1.19,0.579,0.046,"RV","large"
"686","F",6.3,1.58,0.632,6.4,1.74,0.664,0.032,"RV","large"
"687","F",5.5,0.99,0.595,5.8,1.22,0.625,0.03,"RV","large"
"688","F",6.2,1.62,0.68,6.6,1.83,0.637,-0.043,"RV","large"
"689","F",6,1.29,0.597,6.2,1.35,0.566,-0.031,"RV","large"
"690","F",5.4,0.88,0.559,5.8,1.08,0.554,-0.005,"RV","large"
"691","F",6.4,1.77,0.675,6.4,1.84,0.702,0.027,"RV","large"
"692","F",5.6,1.27,0.723,6,1.5,0.694,-0.029,"RV","large"
"693","F",5.7,1.09,0.589,5.9,1.14,0.555,-0.034,"RV","large"
"694","F",6.2,1.36,0.571,6.3,1.63,0.652,0.081,"RV","large"
"695","F",6.1,1.34,0.59,6.2,1.49,0.625,0.035,"RV","large"
"696","F",6.5,1.85,0.674,6.7,1.92,0.638,-0.036,"RV","large"
"697","F",5.9,1.48,0.721,6.2,1.59,0.667,-0.054,"RV","large"
"698","F",5.6,1.12,0.638,5.8,1.27,0.651,0.013,"RV","large"
"699","F",6,1.45,0.671,6.2,1.75,0.734,0.063,"RV","large"
"700","F",6,1.24,0.574,6.3,1.52,0.608,0.034,"RV","large"
"701","F",6.7,2.25,0.748,7,2.59,0.755,0.007,"RV","large"
"702","F",5.2,0.92,0.654,5.7,1.11,0.599,-0.055,"RV","large"
"703","F",6,1.45,0.671,6.2,1.58,0.663,-0.008,"RV","large"
"704","F",6.3,1.66,0.664,6.3,1.92,0.768,0.104,"RV","large"
"705","F",5.4,1.02,0.648,5.7,1.15,0.621,-0.027,"RV","large"
"706","F",6.5,1.94,0.706,6.6,2.09,0.727,0.021,"RV","large"
"707","F",7,2.26,0.659,7.1,2.61,0.729,0.07,"RV","large"
"708","F",5.5,1.14,0.685,5.8,1.21,0.62,-0.065,"RV","large"
"709","F",6.7,2.02,0.672,6.7,2.32,0.771,0.099,"RV","large"
"710","F",6.2,1.45,0.608,6.3,1.55,0.62,0.012,"RV","large"
"711","F",5.5,0.84,0.505,5.7,1.15,0.621,0.116,"RV","large"
"712","F",6.3,1.6,0.64,6.1,1.71,0.753,0.113,"RV","large"
"713","F",5.8,1.4,0.718,6,1.37,0.634,-0.084,"RV","large"
"714","F",5.3,0.91,0.611,5.5,1.05,0.631,0.02,"RV","large"
"715","F",6.2,1.97,0.827,6.4,1.99,0.759,-0.068,"RV","large"
"716","F",6,1.58,0.731,6.3,1.66,0.664,-0.067,"RV","large"
"717","F",6.4,1.88,0.717,6.8,2.02,0.642,-0.075,"RV","large"
"718","F",5.9,1.52,0.74,6.2,1.73,0.726,-0.014,"RV","large"
"719","F",5.8,1.13,0.579,5.9,1.18,0.575,-0.004,"RV","large"
"720","F",5.4,0.92,0.584,5.8,1.23,0.63,0.046,"RV","large"
"721","F",NA,NA,NA,6.3,1.6,0.64,NA,"RV","large"
"722","F",6.1,1.53,0.674,6.3,1.69,0.676,0.002,"RV","large"
"723","F",6.4,1.73,0.66,6.4,2.06,0.786,0.126,"RV","large"
"724","F",5.7,1.33,0.718,6,1.55,0.718,0,"RV","large"
"725","F",6.3,1.73,0.692,6.4,1.83,0.698,0.006,"RV","large"
"726","F",5.7,1.17,0.632,6.1,1.43,0.63,-0.002,"RV","large"
"727","F",6.5,2,0.728,6.5,2.18,0.794,0.066,"RV","large"
"728","F",NA,NA,NA,5.7,1.27,0.686,NA,"RV","large"
"729","F",NA,NA,NA,6.1,1.53,0.674,NA,"RV","large"
"730","F",NA,NA,NA,6.4,1.23,0.469,NA,"RV","large"
"731","FCCL1",6.1,1.54,0.678470885,6.5,2.48,0.903049613,0.224578728,"RV","control"
"732","FCCL1",5.7,1.3,0.701970377,7.1,2.75,0.768347438,0.066377061,"RV","control"
"733","FCCL1",4.9,0.77,0.654489201,7.5,3.86,0.914962963,0.260473762,"RV","control"
"734","FCCL1",6.1,1.97,0.867914054,6.8,2.55,0.810986159,-0.056927895,"RV","control"
"735","FCCL1",6.2,1.86,0.780437045,7.5,3.17,0.751407407,-0.029029637,"RV","control"
"736","FCCL1",5.7,1.38,0.745168554,7.8,3.9,0.821827745,0.076659191,"RV","control"
"737","FCCL1",5.5,1.18,0.709241172,6.8,2.32,0.737838388,0.028597216,"RV","control"
"738","FCCL1",6.5,2.25,0.819299044,7.2,2.73,0.731417181,-0.087881863,"RV","control"
"739","FCCL1",4.4,0.38,0.446093163,7.3,3.17,0.814874414,0.368781251,"RV","control"
"740","FCCL1",5.3,1.09,0.732148015,6.9,3.03,0.922349159,0.190201145,"RV","control"
"741","FCCL1",5,0.85,0.68,7.4,3.41,0.841509881,0.161509881,"RV","control"
"742","FCCL1",4.3,0.49,0.616297936,6.4,2.22,0.846862793,0.230564857,"RV","control"
"743","FCCL1",4.7,0.72,0.693487955,6.1,1.74,0.766583987,0.073096032,"RV","control"
"744","FCCL1",4.8,0.49,0.443070023,5.4,1.16,0.73667632,0.293606297,"RV","control"
"745","FCCL1",5,0.86,0.688,6.7,2.16,0.718173446,0.030173446,"RV","control"
"746","FCCL1",5.5,1.28,0.769346356,7.4,3.37,0.831638797,0.062292441,"RV","control"
"747","FCCL1",7.1,2.75,0.768347438,7.7,4.28,0.937500685,0.169153246,"RV","control"
"748","FCCL1",5.3,0.95,0.638110655,7.3,3.28,0.843150813,0.205040158,"RV","control"
"749","FCCL1",5,0.8,0.64,7.2,3.3,0.884130658,0.244130658,"RV","control"
"750","FCCL1",5.2,0.96,0.682749203,7.4,3.68,0.908139696,0.225390492,"RV","control"
"751","FCCL1",5.8,1.49,0.763663947,6.5,2.1,0.764679108,0.001015161,"RV","control"
"752","FCCL1",5.9,1.51,0.735226094,7,2.05,0.597667638,-0.137558456,"RV","control"
"753","FCCL1",6,1.49,0.689814815,6.2,1.47,0.616797019,-0.073017796,"RV","control"
"754","FCCL1",5.2,0.87,0.618741466,6.5,2.42,0.881201639,0.262460173,"RV","control"
"755","FCCL1",7.1,2.99,0.835403215,7.7,3.8,0.832360421,-0.003042794,"RV","control"
"756","FCCL1",5.1,0.82,0.618163451,7.7,4.29,0.939691107,0.321527655,"RV","control"
"757","FCCL1",5.6,1.2,0.683309038,6.7,2.51,0.834544143,0.151235105,"RV","control"
"758","FCCL1",5.5,1.15,0.691209617,7,2.58,0.752186589,0.060976972,"RV","control"
"759","FCCL1",4.5,0.55,0.603566529,6.8,2.39,0.760100753,0.156534224,"RV","control"
"760","FCCL1",4.9,0.95,0.807486676,6.5,1.96,0.713700501,-0.093786176,"RV","control"
"761","FCCL2",5.8,1.56,0.799540777,7.3,3.45,0.886850703,0.087309927,"DWSC","control"
"762","FCCL2",6.3,2.89,1.155782713,7.1,2.78,0.77672941,-0.379053302,"DWSC","control"
"763","FCCL2",7.6,3.76,0.856538854,7.2,3.06,0.819830247,-0.036708607,"DWSC","control"
"764","FCCL2",6.6,2.09,0.726966636,6.7,2.31,0.768046601,0.041079965,"DWSC","control"
"765","FCCL2",6.4,2,0.762939453,7.1,3.08,0.860549131,0.097609678,"DWSC","control"
"766","FCCL2",6.4,2.05,0.782012939,5.7,1.2,0.647972656,-0.134040284,"DWSC","control"
"767","FCCL2",6,1.64,0.759259259,7.1,2.89,0.807463308,0.048204049,"DWSC","control"
"768","FCCL2",5.5,0.96,0.577009767,8.3,4.42,0.773015126,0.196005359,"DWSC","control"
"769","FCCL2",6.8,2.3,0.731477712,7.2,3.19,0.854659636,0.123181924,"DWSC","control"
"770","FCCL2",6.3,1.64,0.655876695,7.5,3.18,0.753777778,0.097901083,"DWSC","control"
"771","FCCL2",6.9,2.5,0.761014158,6.5,2.12,0.771961766,0.010947608,"DWSC","control"
"772","FCCL2",5.5,1.12,0.673178062,7,2.57,0.749271137,0.076093075,"DWSC","control"
"773","FCCL2",6.4,1.87,0.713348389,6.7,2.38,0.791320741,0.077972352,"DWSC","control"
"774","FCCL2",7,2.4,0.699708455,7.1,2.89,0.807463308,0.107754853,"DWSC","control"
"775","FCCL2",5.2,0.82,0.583181611,6.2,1.45,0.608405223,0.025223612,"DWSC","control"
"776","FCCL2",7,2.8,0.816326531,7.9,4.05,0.821436032,0.005109502,"DWSC","control"
"777","FCCL2",7.5,4.19,0.993185185,6.9,2.48,0.754926045,-0.238259141,"DWSC","control"
"778","FCCL2",4.2,0.53,0.715365511,7.3,3.49,0.89713303,0.181767519,"DWSC","control"
"779","FCCL2",7.6,3.59,0.817812363,7.3,3.2,0.822586159,0.004773796,"DWSC","control"
"780","FCCL2",7.1,2.78,0.77672941,7,2.47,0.720116618,-0.056612792,"DWSC","control"
"781","FCCL2",7.1,2.72,0.759965466,6.9,3.3,1.004538688,0.244573222,"DWSC","control"
"782","FCCL2",7.2,3.17,0.849301269,7.3,3.12,0.802021505,-0.047279763,"DWSC","control"
"783","FCCL2",7.6,3.82,0.870207027,7.1,2.78,0.77672941,-0.093477617,"DWSC","control"
"784","FCCL2",7.1,2.98,0.832609224,7.4,3.37,0.831638797,-0.000970427,"DWSC","control"
"785","FCCL2",7.7,4.06,0.889311397,7.2,2.39,0.640324931,-0.248986466,"DWSC","control"
"786","FCCL2",7.2,3.06,0.819830247,7.3,3.41,0.876568376,0.056738129,"DWSC","control"
"787","FCCL2",7.1,2.38,0.664969783,6.9,2.76,0.84015963,0.175189847,"DWSC","control"
"788","FCCL2",5.8,1.3,0.66628398,7,3.02,0.880466472,0.214182492,"DWSC","control"
"789","FCCL2",5.7,1.3,0.701970377,6.7,2.74,0.911016315,0.209045938,"DWSC","control"
"790","FCCL2",7.3,3.18,0.817444996,6.5,1.76,0.640873919,-0.176571077,"DWSC","control"
